Update 1, AVG Reward 803.4505615234375/64.00, Length: 64, Sample: 0
Update 2, AVG Reward 366.4336242675781/64.00, Length: 64, Sample: 64
Update 3, AVG Reward 254.65550231933594/64.00, Length: 64, Sample: 128
Update 4, AVG Reward 1975.0205078125/64.00, Length: 64, Sample: 192
Update 5, AVG Reward 4683.8076171875/64.00, Length: 64, Sample: 256
Update 6, AVG Reward -51.68535614013672/64.00, Length: 64, Sample: 320
Update 7, AVG Reward -4.3963623046875/64.00, Length: 64, Sample: 384
Update 8, AVG Reward -776.5337524414062/64.00, Length: 64, Sample: 448
Update 9, AVG Reward -199.31979370117188/64.00, Length: 64, Sample: 512
Update 10, AVG Reward 1506.042724609375/64.00, Length: 64, Sample: 576
Update 11, AVG Reward -4415.193359375/64.00, Length: 64, Sample: 640
Update 12, AVG Reward 984.3970947265625/64.00, Length: 64, Sample: 704
Update 13, AVG Reward 1221.45166015625/64.00, Length: 64, Sample: 768
Update 14, AVG Reward -1096.2757568359375/64.00, Length: 64, Sample: 832
Update 15, AVG Reward 490.80023193359375/64.00, Length: 64, Sample: 896
Update 16, AVG Reward -1967.8985595703125/64.00, Length: 64, Sample: 960
Update 17, AVG Reward -2012.58837890625/64.00, Length: 64, Sample: 1024
Update 18, AVG Reward 1027.6053466796875/64.00, Length: 64, Sample: 1088
Update 19, AVG Reward -1432.8466796875/64.00, Length: 64, Sample: 1152
Update 20, AVG Reward -2052.317138671875/64.00, Length: 64, Sample: 1216
Update 21, AVG Reward 335.0007019042969/64.00, Length: 64, Sample: 1280
Update 22, AVG Reward 1976.0377197265625/64.00, Length: 64, Sample: 1344
Update 23, AVG Reward 14.981353759765625/64.00, Length: 64, Sample: 1408
Update 24, AVG Reward 6453.7255859375/64.00, Length: 64, Sample: 1472
Update 25, AVG Reward 4254.03759765625/64.00, Length: 64, Sample: 1536
Update 26, AVG Reward 604.0140991210938/64.00, Length: 64, Sample: 1600
Update 27, AVG Reward 3425.956298828125/64.00, Length: 64, Sample: 1664
Update 28, AVG Reward 4188.26904296875/64.00, Length: 64, Sample: 1728
Update 29, AVG Reward -862.3712768554688/64.00, Length: 64, Sample: 1792
Update 30, AVG Reward 330.39739990234375/64.00, Length: 64, Sample: 1856
Update 31, AVG Reward -806.3214721679688/64.00, Length: 64, Sample: 1920
Update 32, AVG Reward -753.7892456054688/64.00, Length: 64, Sample: 1984
Update 1, AVG Reward 6978.0625/64.00, Length: 64, Sample: 0
Update 2, AVG Reward 12795.71875/64.00, Length: 64, Sample: 64
Update 3, AVG Reward 7798.78173828125/64.00, Length: 64, Sample: 128
Update 1, AVG Reward -1143.128173828125/64.00, Length: 64, Sample: 0
Update 2, AVG Reward 7875.0205078125/64.00, Length: 64, Sample: 64
Update 1, AVG Reward -1899.4864501953125/64.00, Length: 64, Sample: 0
Update 2, AVG Reward -9599.572265625/64.00, Length: 64, Sample: 64
Update 3, AVG Reward -6311.9140625/64.00, Length: 64, Sample: 128
Update 4, AVG Reward -17486.06640625/64.00, Length: 64, Sample: 192
Update 5, AVG Reward -5024.27001953125/64.00, Length: 64, Sample: 256
Update 6, AVG Reward -8729.3740234375/64.00, Length: 64, Sample: 320
Update 7, AVG Reward -9307.81640625/64.00, Length: 64, Sample: 384
Update 8, AVG Reward -2930.3916015625/64.00, Length: 64, Sample: 448
Update 9, AVG Reward -5254.13671875/64.00, Length: 64, Sample: 512
Update 10, AVG Reward 5075.61474609375/64.00, Length: 64, Sample: 576
Update 11, AVG Reward -4579.58251953125/64.00, Length: 64, Sample: 640
Update 12, AVG Reward -6048.03759765625/64.00, Length: 64, Sample: 704
Update 13, AVG Reward 794.6865234375/64.00, Length: 64, Sample: 768
Update 14, AVG Reward -6223.48193359375/64.00, Length: 64, Sample: 832
Update 15, AVG Reward -438.17547607421875/64.00, Length: 64, Sample: 896
Update 16, AVG Reward -6418.80078125/64.00, Length: 64, Sample: 960
Update 17, AVG Reward -10407.4658203125/64.00, Length: 64, Sample: 1024
Update 18, AVG Reward -4111.595703125/64.00, Length: 64, Sample: 1088
Update 19, AVG Reward -7250.5419921875/64.00, Length: 64, Sample: 1152
Update 20, AVG Reward -23642.796875/64.00, Length: 64, Sample: 1216
Update 21, AVG Reward -8264.1875/64.00, Length: 64, Sample: 1280
Update 22, AVG Reward -14078.564453125/64.00, Length: 64, Sample: 1344
Update 23, AVG Reward -9833.0771484375/64.00, Length: 64, Sample: 1408
Update 24, AVG Reward -27810.35546875/64.00, Length: 64, Sample: 1472
Update 25, AVG Reward -19897.947265625/64.00, Length: 64, Sample: 1536
Update 26, AVG Reward -16128.7509765625/64.00, Length: 64, Sample: 1600
Update 27, AVG Reward -15002.8642578125/64.00, Length: 64, Sample: 1664
Update 28, AVG Reward -16667.923828125/64.00, Length: 64, Sample: 1728
Update 29, AVG Reward -15997.2138671875/64.00, Length: 64, Sample: 1792
Update 30, AVG Reward -33183.6796875/64.00, Length: 64, Sample: 1856
Update 31, AVG Reward -7588.72021484375/64.00, Length: 64, Sample: 1920
Update 1, AVG Reward -2217.80419921875/64.00, Length: 64, Sample: 0
Update 2, AVG Reward 7603.544921875/64.00, Length: 64, Sample: 64
Update 3, AVG Reward 9239.8505859375/64.00, Length: 64, Sample: 128
Update 4, AVG Reward 8015.73974609375/64.00, Length: 64, Sample: 192
Update 5, AVG Reward -3019.5888671875/64.00, Length: 64, Sample: 256
Update 6, AVG Reward 412.747314453125/64.00, Length: 64, Sample: 320
Update 7, AVG Reward -6004.03125/64.00, Length: 64, Sample: 384
Update 8, AVG Reward 13152.54296875/64.00, Length: 64, Sample: 448
Update 1, AVG Reward 17677.654296875/64.00, Length: 64, Sample: 0
Update 1, AVG Reward -1687.2769775390625/64.00, Length: 64, Sample: 0
Update 1, AVG Reward 2152.57958984375/64.00, Length: 64, Sample: 0
Update 1, AVG Reward 225.81582641601562/64.00, Length: 64, Sample: 0
Update 2, AVG Reward 2.110623359680176/64.00, Length: 64, Sample: 64
Update 3, AVG Reward 1.052747130393982/64.00, Length: 64, Sample: 128
Update 4, AVG Reward -10714.2158203125/64.00, Length: 64, Sample: 192
Update 1, AVG Reward 20917.580078125/64.00, Length: 64, Sample: 0
Update 2, AVG Reward 6590.83544921875/64.00, Length: 64, Sample: 64
Update 1, AVG Reward 10482.74609375/64.00, Length: 64, Sample: 0
Update 2, AVG Reward 3255.3896484375/64.00, Length: 64, Sample: 64
Update 1, AVG Reward 350.9226989746094/64.00, Length: 64, Sample: 0
Update 1, AVG Reward -9064.94921875/64.00, Length: 64, Sample: 0
